City,Code1,Code2
Abancourt,FR,ACO
Abbeville,FR,ABB
Abeilhan,FR,WAH
Abergement-le-Grand,FR,PW4
Abergement-le-Petit,FR,TXY
Abidos,FR,ABD
Abilly,FR,AB2
Abitain,FR,AII
Ablaincourt-Pressoir,FR,AOP
Ablis,FR,ABL
Ablon,FR,QLO
Abondance,FR,XAB
Abos,FR,6AB
Abreschviller,FR,FR9
Abrest,FR,EBT
Abzac,FR,AZA
Accous,FR,AKS
Achenheim,FR,A3M
Achères,FR,ACH
Achery,FR,A86
Acheux-en-Vimeu,FR,AXV
Achicourt,FR,ACI
Achiet-le-Grand,FR,JGD
Achiet-le-Petit,FR,API
Achy,FR,HYX
Acigné,FR,YGY
Acquigny,FR,ACQ
Acy-Romance,FR,AYQ
Adelans,FR,L8N
Adilly,FR,WLL
Adissan,FR,WSN
Adriers,FR,D86
Agde,FR,AGD
Agel,FR,WGL
Agen,FR,AGF
Aghione,FR,AH3
Agincourt,FR,IU4
Agmé,FR,AM9
Agneaux,FR,WGX
Agnetz,FR,AG2
Agnières-en-Dévoluy,FR,ADV
Agnin,FR,AXI
Agnos,FR,2AG
Agonac,FR,AGC
Agon-Coutainville,FR,AOV
Agos-Vidalos,FR,ADL
Agris,FR,ZBH
Aguessac,FR,AGU
Aguilcourt,FR,AGR
Ahetze,FR,P8A
Ahun,FR,AHN
Ahuy,FR,AYO
Aïcirits-Camou-Suhast,FR,AMH
Aiffres,FR,AFF
Aiglun,FR,AIU
Aignan,FR,AGB
Aignay-le-Duc,FR,ALD
Aigne,FR,AG6
Aigné,FR,AIW
Aigre,FR,AIG
Aigrefeuille-d'Aunis,FR,A2D
Aigrefeuille-sur-Maine,FR,AFM
Aigremont,FR,AG9
Aiguebelle,FR,AXZ
Aigueblanche,FR,AIB
Aiguefonde,FR,AFE
Aigueperse,FR,AGP
Aigues-Mortes,FR,IAU
Aigues-Vives,FR,AGV
Aigues-Vives,FR,AS2
Aiguillon,FR,AGL
Aillant-sur-Tholon,FR,AAA
Aillas,FR,I33
Ailleville,FR,AEV
Aillevillers-et-Lyaumont,FR,ATU
Ailly-sur-Noye,FR,AIL
Ailly-sur-Somme,FR,ZBG
Aimargues,FR,AMG
Aime,FR,AIM
Aime-la-Plagne,FR,AIP
Airaines,FR,AIR
Airan,FR,AIA
Aire-sur-l'Adour,FR,ADR
Aire-sur-la-Lys,FR,AYS
Airvault,FR,AIT
Aise,FR,AYZ
Aiserey,FR,AWS
Aisy-sur-Armançon,FR,AIC
Aiton,FR,ITO
Aix,FR,XAQ
Aix,FR,AXD
Aix-en-Othe,FR,AXO
Aix-en-Provence,FR,QXB
Aixe-sur-Vienne,FR,ZSV
Aix-les-Bains,FR,AXB
Aix-Villemaur-Palis,FR,AXP
Aizenay,FR,AIZ
Aizy,FR,ZY6
Ajaccio,FR,AJA
Ajain,FR,AJN
Alaigne,FR,ZSA
